,product_name,ratings,category
1,U.S. Polo Assn. : Men Clarkin Sneakers,4.3,Sneakers
2,Roadster : Men Sneakers,3.7,Sneakers
5,HIGHLANDER : Men Sneakers,4,Sneakers
9,U.S. Polo Assn. : Men Colourblocked Sneakers,4.4,Sneakers
11,Jack & Jones : Men Sneakers,,Sneakers
12,Kook N Keech : WomenStriped Mid-Top Sneakers,4.5,Sneakers
19,Mast & Harbour : Men Striped Sneakers,4.1,Sneakers
20,HIGHLANDER : Men Solid Sneakers,4.2,Sneakers
24,U.S. Polo Assn. : Men Solid Sneakers,4.4,Sneakers
25,Roadster : Men Sneakers,3.7,Sneakers
26,Skechers : Women Perforations Sneakers,5,Sneakers
29,HIGHLANDER : Men Solid Sneakers,4.1,Sneakers
31,Puma : Unisex Duke Sneakers,4.4,Sneakers
36,U.S. Polo Assn. : Men Colourblocked Sneakers,4.4,Sneakers
37,ADIDAS Originals : Men ZX 22 BOOST Sneakers,4.2,Sneakers
43,Puma : Unisex Sneakers,4.2,Sneakers
44,U.S. Polo Assn. : Men MOORE 2.0 Sneakers,4.3,Sneakers
47,Puma : Women Woven Design Slip-On Sneakers,4.8,Sneakers
51,Mactree : Men Colourblocked PU Sneakers,4.4,Sneakers
53,Harvard : Men Printed High-Top Sneakers,4.3,Sneakers
55,Roadster : Women Textured Sneakers,4.4,Sneakers
58,Roadster : Men Colourblocked Sneakers,3.8,Sneakers
61,Jack & Jones : Men Solid Sneakers,,Sneakers
63,Kook N Keech : Women Woven Design Sneakers,4.2,Sneakers
65,Red Tape : Women Sneakers,4.4,Sneakers
69,HIGHLANDER : Men Sneakers,3.9,Sneakers
70,PUMA Motorsport : MAPF1 Electron E Pro Sneakers,3.6,Sneakers
72,Mactree : Men Colourblocked PU Sneakers,4.1,Sneakers
76,U.S. Polo Assn. : Men Capron 2.0 Sneakers,4.3,Sneakers
77,Puma : Women Sneakers,4.5,Sneakers
78,Puma : Men Knit Slip-On Sneakers,4.7,Sneakers
79,Jack & Jones : Men Textured Sneakers,,Sneakers
87,HIGHLANDER : Men Solid Leather Sneakers,4.1,Sneakers
88,U.S. Polo Assn. : Men MADRYN 2.O Sneakers,4.5,Sneakers
91,Roadster : Women Mid-Top Chelsea Sneakers,4.3,Sneakers
92,Shoetopia : Women Sneakers,4.1,Sneakers
94,Puma : Men Lite Pro Sneakers,4.8,Sneakers
98,TWIN TOES : Women Colourblocked Sneakers,4.1,Sneakers
99,Nike : Men Court Vision Low Sneakers,4.4,Sneakers
101,HIGHLANDER : Men Solid Sneakers,4.1,Sneakers
102,Jack & Jones : Men Textured Sneakers,,Sneakers
103,U.S. Polo Assn. : Men GAIMAN 2.O Sneakers,4.3,Sneakers
107,Nike : Men TANJUN Sneakers,4.2,Sneakers
108,HIGHLANDER : Men Sneakers,4.1,Sneakers
112,Mactree : Men Colourblocked PU Sneakers,3.8,Sneakers
116,U.S. Polo Assn. : Men OCTAVIA Slip-On Sneakers,4.5,Sneakers
118,Jack & Jones : Men Casual Sneakers,,Sneakers
119,HIGHLANDER : Men Woven Design Sneakers,3.7,Sneakers
121,Roadster : Men Casual Sneakers,3.3,Sneakers
123,XE Looks : Women Printed Sneakers,,Sneakers
124,U.S. Polo Assn. : Men CAPRON 2.0 Sneakers,4.6,Sneakers
125,Puma : Women Sneakers,4.3,Sneakers
126,AfroJack : Women Sneakers,3.8,Sneakers
127,Nautica : Men Solid Perforated Sneakers,3.7,Sneakers
128,HIGHLANDER : Men Solid Sneakers,4.2,Sneakers
132,Roadster : Women Sneakers,4.7,Sneakers
137,Layasa : Women Slip-On Sneakers,3.7,Sneakers
139,AfroJack : Women Sneakers,3.8,Sneakers
147,Roadster : Women Slip-On Sneakers,4.2,Sneakers
150,Red Tape : Women Woven Design Sneakers,4.5,Sneakers
153,Puma : Unisex Slip-On Sneakers,4.5,Sneakers
156,HIGHLANDER : Men Sneakers,4.1,Sneakers
164,Truffle Collection : Women Woven Design Sneakers,,Sneakers
165,U.S. Polo Assn. : Men Sneakers,4.3,Sneakers
170,WROGN : Men Colourblocked Sneakers,4.3,Sneakers
171,Kook N Keech : Men Woven Design Sneakers,3.9,Sneakers
177,U.S. Polo Assn. : Men CARLIN Slip on Sneakers,4.4,Sneakers
178,Mactree : Men Colourblocked PU Sneakers,3.7,Sneakers
179,ELIXIR MAN : Men Colourblocked Sneakers,3.4,Sneakers
180,RapidBox : Men Woven Design Sneakers,,Sneakers
183,Roadster : Men Solid Sneakers,4,Sneakers
185,El Paso : Women Sneakers,3.9,Sneakers
187,U.S. Polo Assn. : Men CLARKIN 2.0 Sneakers,4.1,Sneakers
191,HIGHLANDER : Men Solid Sneakers,4,Sneakers
196,Roadster : Women Textured Sneakers,4.5,Sneakers
197,Roadster : Men Solid Canvas Sneakers,,Sneakers
